Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,best_mate_6,best_mate_7,best_mate_8,best_mate_9,best_mate_10,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5,worst_mate_6,worst_mate_7,worst_mate_8,worst_mate_9,worst_mate_10
0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1
2,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
3,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0
4,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
5,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
6,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
7,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
8,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0
9,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
11,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0
12,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1
13,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0
14,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1
15,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1
17,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0
18,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0
19,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1
20,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0
21,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
22,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
23,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
24,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
25,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0
26,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0
27,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0
28,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
29,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
30,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
31,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
32,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1
33,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
34,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0
35,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
36,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
37,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1
38,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0
39,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
40,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
41,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
42,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
43,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0
