Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5
0,0,0,1,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0
3,0,0,1,1,0,0,0,0,0,0
4,0,1,1,0,0,0,0,0,0,0
5,0,0,0,1,1,0,0,0,0,0
6,0,1,1,0,0,1,1,1,0,1
7,0,0,1,0,0,0,0,0,0,0
8,0,0,1,1,0,0,0,0,0,0
9,0,1,0,0,1,0,0,0,0,0
10,0,0,0,1,1,0,0,0,0,0
11,0,0,0,1,1,0,0,0,0,0
12,0,0,0,1,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,1
14,0,1,1,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,1,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0
19,1,1,1,0,0,0,0,0,0,0
20,0,0,0,0,1,0,0,0,0,0
21,0,0,0,0,1,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0
24,0,0,0,0,1,0,0,0,0,0
25,0,0,0,0,1,0,0,0,0,0
26,0,1,0,0,0,0,0,0,0,0
27,0,0,1,0,0,0,0,0,0,0
28,0,0,0,0,1,0,0,0,0,0
29,1,1,0,0,1,0,0,0,0,0
30,1,1,0,0,0,0,0,0,0,0
31,0,1,0,0,1,0,0,0,0,0
32,1,0,0,0,0,0,0,1,0,0
33,0,0,0,1,0,0,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0
35,0,1,0,1,0,0,0,0,0,0
36,0,1,0,0,0,0,0,0,1,0
37,1,0,0,1,0,0,0,0,0,0
38,1,0,0,0,1,0,0,0,0,0
39,0,1,0,0,1,0,0,0,0,0
40,0,0,0,1,1,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0
42,0,0,0,0,1,0,0,0,1,1
