Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,best_mate_6,best_mate_7,best_mate_8,best_mate_9,best_mate_10,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5,worst_mate_6,worst_mate_7,worst_mate_8,worst_mate_9,worst_mate_10
0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
2,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
3,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
4,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
5,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0
6,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0
7,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
8,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
9,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
11,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
12,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0
13,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
14,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0
16,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
17,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1
19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
22,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
25,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
26,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
27,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1
28,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
31,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
33,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
35,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
36,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
37,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
38,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
39,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1
40,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0
41,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1
42,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
43,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
44,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
