Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5
0,0,0,1,0,1,0,1,0,0,1
1,1,1,0,1,1,0,1,0,1,1
2,0,1,1,1,1,1,0,0,0,1
3,0,1,1,0,1,1,0,0,1,1
4,1,1,0,1,0,1,0,0,0,0
5,0,1,0,1,0,1,1,1,0,0
6,1,1,0,1,1,1,1,1,0,0
7,0,0,1,1,0,0,1,1,1,0
8,0,1,1,1,0,1,0,0,0,1
9,0,0,1,1,1,0,1,1,1,1
10,0,1,0,1,1,1,1,1,0,1
11,1,1,0,0,1,1,1,0,0,0
12,0,0,1,1,1,0,1,0,0,1
13,1,0,1,0,0,0,0,1,1,1
14,1,1,1,1,0,0,1,1,0,1
15,0,1,1,1,0,0,1,0,0,0
16,1,1,1,1,0,0,0,1,1,1
17,0,1,1,0,0,0,0,1,1,1
18,1,1,1,1,0,0,0,1,1,0
19,1,1,0,1,1,0,1,1,0,1
20,1,1,1,1,0,0,1,0,0,1
21,0,1,1,0,1,1,1,0,1,0
22,0,1,0,0,1,0,1,0,0,1
23,0,0,0,1,0,1,1,1,1,0
24,1,0,1,1,1,1,0,1,1,1
25,1,1,1,0,0,1,0,1,1,1
26,1,1,1,1,0,0,0,1,1,0
27,0,1,1,0,1,0,1,0,0,1
28,1,0,1,0,1,1,1,1,0,0
29,1,0,1,1,1,0,1,1,0,0
30,1,1,0,1,1,1,0,1,0,0
31,0,1,0,1,1,0,0,1,0,1
32,0,1,1,0,0,0,1,1,0,0
33,1,0,1,1,0,0,1,1,0,0
34,0,0,0,0,1,0,0,1,0,0
35,0,1,1,0,1,0,0,1,0,0
36,0,1,1,0,1,1,1,1,1,1
37,0,0,1,1,0,1,0,1,1,1
38,1,0,0,1,1,0,1,1,0,1
39,0,1,1,1,1,0,1,1,0,1
40,1,0,1,1,1,0,1,1,1,1
41,0,1,1,0,1,0,1,1,0,0
42,1,0,1,1,0,0,0,1,1,1
43,0,1,0,1,1,1,1,0,0,1
44,0,0,1,1,0,0,1,1,0,1
45,0,1,1,0,1,0,0,1,0,0
46,0,1,1,0,0,1,0,1,1,1
47,0,1,0,0,1,0,0,1,1,0
48,0,1,0,1,1,0,0,1,1,1
49,0,1,0,1,1,0,1,0,1,0
50,1,1,0,1,1,1,0,1,1,0
51,1,1,1,0,0,0,1,1,1,0
52,0,0,1,1,0,0,0,0,1,0
53,1,0,1,0,1,0,1,0,1,1
54,1,0,1,1,1,0,0,1,1,0
55,1,1,0,0,0,1,1,0,1,0
56,0,1,1,0,0,1,0,0,0,1
57,0,1,0,0,1,0,1,1,0,0
58,1,1,1,1,0,0,1,0,0,0
59,0,1,1,0,0,0,1,1,0,0
60,1,0,0,1,0,0,0,0,0,0
61,0,1,1,1,0,1,1,1,0,0
62,1,1,0,0,0,0,1,1,0,0
63,1,1,0,0,0,0,0,0,0,0
64,1,0,0,1,1,0,0,1,1,0
65,1,0,0,0,1,1,1,0,0,1
66,1,1,1,1,1,0,1,1,1,1
67,1,1,0,1,0,0,1,1,0,0
68,0,0,1,1,1,0,0,0,0,1
69,0,1,0,1,1,0,1,1,0,0
70,0,0,1,1,1,0,1,0,0,1
71,0,1,0,1,1,0,1,0,1,0
72,0,0,0,1,1,1,1,0,1,0
73,0,0,0,1,1,0,1,0,0,0
74,0,0,0,1,1,0,1,0,1,0
75,0,0,1,1,1,0,1,0,0,1
76,1,1,1,0,0,1,0,0,0,1
77,1,1,1,0,0,1,0,1,1,0
78,1,1,1,0,0,0,1,0,0,0
79,0,0,1,1,1,0,0,0,1,1
80,0,0,1,1,1,1,0,1,0,0
81,1,1,0,1,1,0,0,1,0,1
82,1,0,1,0,1,0,1,0,0,0
83,1,1,0,1,1,1,0,1,0,1
84,0,1,1,0,0,0,1,0,1,1
85,0,1,1,0,1,1,0,0,0,1
86,1,0,1,1,1,1,1,0,1,0
87,0,0,0,0,1,1,0,1,0,1
88,1,1,1,1,1,0,1,1,0,1
89,0,0,1,1,1,0,0,0,0,1
90,1,1,1,1,1,0,1,0,0,1
91,0,1,1,1,0,0,0,0,0,1
92,1,0,0,1,0,0,1,0,0,1
93,1,1,1,1,1,1,0,1,1,0
94,1,1,0,1,1,1,0,0,1,0
95,0,0,0,1,1,1,0,0,1,1
96,1,0,0,1,1,0,1,1,0,1
97,1,1,1,1,0,1,1,0,0,1
98,0,1,0,1,1,1,1,0,0,1
99,1,0,1,1,0,1,1,1,0,1
100,0,1,1,1,0,0,0,0,1,1
101,1,0,0,0,0,0,0,0,0,1
102,0,0,0,1,1,0,0,1,1,1
103,1,1,1,1,0,1,0,1,1,0
104,1,1,0,1,0,1,0,0,0,1
105,1,1,0,1,0,0,0,0,0,0
106,1,1,1,1,0,1,1,0,0,1
107,1,0,0,1,0,1,1,1,0,0
108,0,1,1,0,1,0,1,0,0,1
109,1,1,1,1,1,0,1,0,1,0
110,0,1,1,0,1,1,0,1,0,0
