Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,best_mate_6,best_mate_7,best_mate_8,best_mate_9,best_mate_10,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5,worst_mate_6,worst_mate_7,worst_mate_8,worst_mate_9,worst_mate_10
0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1
1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0
2,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
3,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1
4,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0
5,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
6,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1
7,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1
8,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0
9,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
10,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0
11,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
12,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
13,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0
14,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
15,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
16,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0
17,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
18,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0
19,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0
20,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0
21,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
22,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
23,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0
24,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0
25,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1
26,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
27,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0
28,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0
29,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0
30,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0
31,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0
32,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0
33,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
34,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0
35,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0
