Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,best_mate_6,best_mate_7,best_mate_8,best_mate_9,best_mate_10,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5,worst_mate_6,worst_mate_7,worst_mate_8,worst_mate_9,worst_mate_10
0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1
1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1
2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
3,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1
4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0
5,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
6,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0
7,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0
8,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
9,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1
10,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
11,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0
12,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0
13,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1
14,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1
15,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1
16,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
17,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1
18,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1
19,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1
20,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1
21,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
22,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0
23,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
24,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0
25,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0
26,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1
27,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
30,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
31,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
32,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
33,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1
34,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0
35,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
36,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0
37,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
38,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
39,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
42,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
43,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1
