Generation,best_mate_1,best_mate_2,best_mate_3,best_mate_4,best_mate_5,best_mate_6,best_mate_7,best_mate_8,best_mate_9,best_mate_10,worst_mate_1,worst_mate_2,worst_mate_3,worst_mate_4,worst_mate_5,worst_mate_6,worst_mate_7,worst_mate_8,worst_mate_9,worst_mate_10
0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0
1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
2,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
3,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1
4,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
6,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0
7,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0
8,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
9,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
10,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
11,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
12,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
13,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
14,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
15,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
16,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
17,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
18,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
19,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
20,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0
21,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0
22,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0
23,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
24,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0
25,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
26,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1
27,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
28,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0
29,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
30,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
31,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
32,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
33,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
34,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
35,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0
36,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
37,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0
38,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0
39,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
